"id","ingredient"
48571,"jumbo shrimp"
48571,"sea scallops"
48571,"grate lime peel"
48571,"olive oil"
48571,"chopped onion"
48571,"chopped cilantro"
48571,"bottled clam juice"
48571,"white hominy"
48571,"sun-dried tomatoes in oil"
48571,"salsa verde"
48571,"garlic cloves"
25909,"minced garlic"
25909,"cumin"
25909,"tomato sauce"
25909,"long-grain rice"
25909,"chicken broth"
25909,"vegetable oil"
25909,"kosher salt"
25909,"chopped cilantro fresh"
45705,"shortening"
45705,"milk"
45705,"salt"
45705,"dried fruit"
45705,"cinnamon"
45705,"sugar"
45705,"flour"
45705,"lemon juice"
45705,"water"
45705,"butter"
47190,"dark soy sauce"
47190,"beef stock"
47190,"star anise"
47190,"basmati rice"
47190,"olive oil"
47190,"muscovado sugar"
47190,"chinese five-spice powder"
47190,"red chili peppers"
47190,"spring onions"
47190,"braising beef"
47190,"plain flour"
47190,"fresh ginger root"
47190,"dry sherry"
47190,"garlic cloves"
38176,"soy sauce"
38176,"peeled fresh ginger"
38176,"snow peas"
38176,"bell pepper"
38176,"garlic cloves"
38176,"lo mein noodles"
38176,"vegetable oil"
38176,"cremini mushrooms"
38176,"pork tenderloin"
38176,"toasted sesame oil"
17458,"mirin"
17458,"sake"
17458,"butter"
17458,"clams"
17458,"green onions"
17458,"soy sauce"
17458,"rice vinegar"
26526,"plain flour"
26526,"chili powder"
26526,"ground turmeric"
26526,"coriander seeds"
26526,"salt"
26526,"whitefish fillets"
26526,"vegetable oil"
26526,"fennel seeds"
26526,"garam masala"
26526,"garlic cloves"
48226,"whipping cream"
48226,"granulated sugar"
48226,"Cointreau Liqueur"
48226,"powdered sugar"
48226,"strawberries"
23348,"minced ginger"
23348,"garlic"
23348,"oil"
23348,"coriander powder"
23348,"chickpeas"
23348,"onions"
23348,"chopped tomatoes"
23348,"salt"
23348,"lemon juice"
23348,"fenugreek leaves"
23348,"chili powder"
23348,"cumin seed"
23348,"ground cumin"
12434,"whole wheat baguette"
12434,"cracked black pepper"
12434,"olive oil"
12434,"heirloom tomatoes"
12434,"cucumber"
12434,"fresh basil"
12434,"red wine vinegar"
12434,"purple onion"
12434,"basil leaves"
12434,"sea salt"
32265,"black pepper"
32265,"allspice"
32265,"nutmeg"
32265,"salt"
32265,"sugar"
32265,"thyme"
32265,"clove"
32265,"onion powder"
34683,"curry leaves"
34683,"tamarind pulp"
34683,"cilantro leaves"
34683,"mustard seeds"
34683,"ground turmeric"
34683,"red chili peppers"
34683,"chili powder"
34683,"cumin seed"
34683,"toor dal"
34683,"asafetida"
34683,"tomatoes"
34683,"coriander powder"
34683,"green chilies"
34683,"onions"
34683,"masala"
34683,"water"
34683,"salt"
34683,"oil"
34683,"jaggery"
39342,"pepper"
39342,"bouquet garni"
39342,"carrots"
39342,"beef"
39342,"all-purpose flour"
39342,"burgundy"
39342,"olive oil"
39342,"salt"
39342,"onions"
39342,"parsley"
39342,"garlic cloves"
44957,"white vinegar"
44957,"salt"
44957,"chili"
44957,"pectin"
44957,"garlic cloves"
44957,"granulated sugar"
17434,"ice cubes"
17434,"strawberries"
17434,"fat free milk"
17434,"nonfat yogurt"
17434,"honey"
17434,"ground cardamom"
21220,"dried scallops"
21220,"salt"
21220,"winter melon"
21220,"peeled fresh ginger"
21220,"ham"
21220,"fresh ginger"
21220,"whole chicken"
21220,"water"
21220,"scallions"
10855,"eggs"
10855,"water"
10855,"bacon"
10855,"dark brown sugar"
10855,"sugar"
10855,"unsalted butter"
10855,"salt"
10855,"heavy whipping cream"
10855,"brown sugar"
10855,"empanada dough"
10855,"apples"
10855,"lemon juice"
10855,"ground cloves"
10855,"cinnamon"
10855,"all-purpose flour"
49192,"celery ribs"
49192,"milk"
49192,"salt"
49192,"pork sausages"
49192,"chicken broth"
49192,"ground nutmeg"
49192,"fresh parsley"
49192,"cornbread"
49192,"dried thyme"
49192,"chopped pecans"
49192,"pepper"
49192,"dry sherry"
49192,"onions"
48366,"spinach"
48366,"oil"
48366,"purple onion"
48366,"orecchiette"
48366,"artichok heart marin"
48366,"feta cheese crumbles"
48366,"tomatoes"
48366,"vinaigrette"
17630,"black pepper"
17630,"vegetable oil"
17630,"corn starch"
17630,"iceberg lettuce"
17630,"brown sugar"
17630,"chicken breasts"
17630,"garlic"
17630,"toasted sesame seeds"
17630,"diced mushrooms"
17630,"asparagus"
17630,"ginger"
17630,"onions"
17630,"sliced green onions"
17630,"soy sauce"
17630,"sesame oil"
17630,"rice vinegar"
17630,"cashew nuts"
47333,"curry powder"
47333,"ground red pepper"
47333,"fresh lime juice"
47333,"sweet chili sauce"
47333,"chunky peanut butter"
47333,"purple onion"
47333,"chicken breast tenders"
47333,"cooking spray"
47333,"peanut oil"
47333,"lower sodium soy sauce"
47333,"pineapple"
47333,"chopped cilantro fresh"
27961,"green bell pepper"
27961,"fresh thyme"
27961,"sea salt"
27961,"creole seasoning"
27961,"chicken thighs"
27961,"crushed tomatoes"
27961,"parsley"
27961,"yellow onion"
27961,"long-grain rice"
27961,"dried porcini mushrooms"
27961,"mushrooms"
27961,"garlic"
27961,"scallions"
27961,"serrano chile"
27961,"fresh bay leaves"
27961,"grapeseed oil"
27961,"fresh oregano"
27961,"celery"
4503,"flour"
4503,"salt"
4503,"chicken broth"
4503,"baking powder"
4503,"cooked chicken"
4503,"milk"
4503,"butter"
16082,"garam masala"
16082,"oil"
16082,"ground cumin"
16082,"plain yogurt"
16082,"chili powder"
16082,"chicken thighs"
16082,"ground ginger"
16082,"ground black pepper"
16082,"lemon juice"
16082,"minced garlic"
16082,"salt"
16082,"coriander"
34936,"dried bonito flakes"
34936,"water"
34936,"konbu"
